Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Age,Price_per_CC,KM_per_Year,Luxury_Score,Regional_Premium,Q1_2026_Value
Maruti Wagon R LXI CNG,Maruti,Mumbai,2010,72000,CNG,Manual,First,998,58.16,5,26.6,1.75,16,1.7535070140280562,4500.0,0,-81.395500206114,0.45142981923860775
Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,2015,41000,Diesel,Manual,First,1582,126.2,5,19.67,12.5,11,7.9013906447534765,3727.2727272727275,0,84.8532512460255,4.892412539789429
Honda Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,1199,88.7,5,18.2,4.5,15,3.7531276063386154,3066.6666666666665,0,-42.16074852647621,1.2617603643315123
Maruti Ertiga VDI,Maruti,Chennai,2012,87000,Diesel,Manual,First,1248,88.76,7,20.77,6.0,14,4.8076923076923075,6214.285714285715,0,-22.880998035301616,1.8286382091761049
Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,1968,140.8,5,15.2,17.74,13,9.014227642276422,3128.4615384615386,0,17.809057142916984,5.876819172243495
Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,2012,75000,LPG,Manual,First,814,55.2,5,21.1,2.35,14,2.8869778869778875,5357.142857142857,0,-75.97607747916781,0.7162166319273078
Nissan Micra Diesel XV,Nissan,Jaipur,2013,86999,Diesel,Manual,First,1461,63.1,5,23.08,3.5,13,2.3956194387405887,6692.2307692307695,0,-40.06999490490549,1.1594626326297766
Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,2755,171.5,8,11.36,17.5,10,6.352087114337568,3600.0,1,86.04499793886006,7.444975604027392
Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,2013,64430,Diesel,Manual,First,1598,103.6,5,20.54,5.2,13,3.254067584480601,4956.153846153846,0,-23.101047481653392,1.7226301970499538
Tata Indica Vista Quadrajet LS,Tata,Chennai,2012,65932,Diesel,Manual,Second,1248,74.0,5,22.3,1.95,14,1.5625,4709.428571428572,0,-74.93632436147303,0.5943074179822341
Maruti Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,1462,103.25,5,21.56,9.95,8,6.805745554035568,3211.5,0,-11.106454143498645,5.001181964628176
Honda City 1.5 V AT Sunroof,Honda,Kolkata,2012,60000,Petrol,Automatic,First,1497,116.3,5,16.8,4.49,14,2.9993319973279893,4285.714285714285,0,-20.846056106598542,1.3684309265334518
